term,int_rate,dti,fico_range_low,total_rec_int,total_rec_late_fee,last_fico_range_high,last_fico_range_low,acc_open_past_24mths,num_tl_op_past_12m,loan_to_income,loan_int_rate_interaction
36,17.86,10.05,715.0,5720.95,0.0,744.0,740.0,1.0,1.0,0.23999700003749952,342912.0
36,11.22,6.84,670.0,878.01,0.0,699.0,695.0,4.0,1.0,0.24998750062496874,56100.0
36,18.49,0.0,795.0,1439.29,0.0,689.0,685.0,0.0,0.0,0.23084615220952745,200616.49999999997
60,12.59,23.37,665.0,6331.95,0.0,739.0,735.0,5.0,4.0,0.3636308540779685,302160.0
36,9.8,21.45,675.0,1791.3,0.0,684.0,680.0,6.0,4.0,0.22221913584533548,156800.0
60,11.22,24.92,680.0,6086.03,0.0,694.0,690.0,3.0,0.0,0.42856377564686343,269280.0
36,7.89,29.14,695.0,1680.25,0.0,679.0,675.0,3.0,2.0,0.11864306234692926,110460.0
36,9.17,9.26,685.0,957.54,0.0,724.0,720.0,4.0,1.0,0.15555209884224794,64190.0
36,7.89,21.26,680.0,1752.62,0.0,764.0,760.0,2.0,1.0,0.2333294445092582,110460.0
60,13.67,30.46,665.0,3460.35,0.0,499.0,0.0,8.0,0.0,0.18112979710947033,196848.0
36,7.26,10.71,755.0,3232.75,0.0,754.0,750.0,2.0,0.0,0.23333138890509245,203280.0
36,7.89,29.4,680.0,1057.61,0.0,644.0,640.0,7.0,3.0,0.17499635424261994,66276.0
36,7.26,12.55,685.0,185.5,0.0,634.0,630.0,11.0,2.0,0.07179303094792441,20328.0
60,12.59,21.71,700.0,4866.25,0.0,594.0,590.0,9.0,1.0,0.19999777780246886,226620.0
36,5.32,17.25,730.0,2088.52,0.0,784.0,780.0,0.0,0.0,0.3378332725233443,133000.0
36,15.41,28.02,675.0,1708.59,0.0,689.0,685.0,3.0,1.0,0.20378170358473985,103632.25
36,12.59,22.02,700.0,1641.44,0.0,569.0,565.0,5.0,2.0,0.19999500012499688,100720.0
36,12.59,15.17,660.0,1022.39,0.0,709.0,705.0,3.0,2.0,0.14285306134110454,62950.0
36,12.59,25.05,685.0,2826.04,0.0,744.0,740.0,5.0,3.0,0.2795199245296204,201440.0
36,9.17,26.56,670.0,1342.48,0.0,684.0,680.0,6.0,4.0,0.11999840002133305,82530.0
60,16.55,14.42,675.0,6191.42,0.0,739.0,735.0,2.0,0.0,0.4196328658841456,291693.75
36,10.64,14.09,690.0,1286.31,0.0,769.0,765.0,4.0,3.0,0.32257023966968806,106400.0
36,12.59,37.33,675.0,408.92,0.0,619.0,615.0,6.0,2.0,0.03571364797057196,25180.0
36,6.89,15.83,730.0,2641.14,0.0,794.0,790.0,1.0,1.0,0.31249609379882753,172250.0
36,11.99,17.31,675.0,1251.9,0.0,684.0,680.0,6.0,3.0,0.12845595936839194,77935.0
60,18.49,39.69,705.0,4118.7,0.0,544.0,540.0,9.0,3.0,0.42168166648594596,647150.0
36,10.78,20.13,670.0,1386.78,0.0,729.0,725.0,8.0,3.0,0.15094054829154166,86240.0
36,13.67,17.19,660.0,3985.44,0.0,679.0,675.0,4.0,2.0,0.3999920001599968,273400.0
36,18.49,25.85,680.0,2030.75,0.0,599.0,595.0,11.0,5.0,0.27011536303992584,204776.74999999997
36,16.55,22.08,670.0,2873.97,0.0,614.0,610.0,5.0,3.0,0.2520791320144664,250318.75
36,13.67,12.6,670.0,2487.47,0.0,529.0,525.0,5.0,2.0,0.30302418132967013,205050.0
60,13.67,9.22,685.0,2211.44,0.0,754.0,750.0,4.0,2.0,0.0751874046059804,136700.0
60,11.99,30.13,715.0,2711.37,0.0,774.0,770.0,2.0,1.0,0.2418137852039054,159467.0
36,14.33,13.49,680.0,838.68,0.0,574.0,570.0,13.0,7.0,0.07199856002879942,51588.0
36,16.99,28.62,710.0,893.44,0.0,504.0,500.0,5.0,2.0,0.11770002572678158,77729.25
36,14.48,10.59,690.0,539.48,0.0,754.0,750.0,7.0,5.0,0.055998880022399555,40544.0
36,11.22,19.85,720.0,1384.42,0.0,599.0,595.0,5.0,3.0,0.11428408165597634,89760.0
36,17.57,27.67,670.0,2114.37,0.0,629.0,625.0,3.0,2.0,0.19999636370247814,193270.0
36,13.18,19.77,680.0,147.7,0.0,689.0,685.0,1.0,1.0,0.01999960000799984,13180.0
36,8.38,18.89,665.0,1205.67,0.0,669.0,665.0,1.0,1.0,0.13845940831679512,75420.0
60,11.99,16.14,800.0,2935.84,0.0,499.0,0.0,4.0,2.0,0.37634003935441557,419650.0
60,21.99,31.93,670.0,3190.62,0.0,544.0,540.0,12.0,9.0,0.38917867084673385,316656.0
36,16.99,24.41,670.0,1416.28,0.0,629.0,625.0,8.0,3.0,0.08087821910106818,139318.0
36,12.59,23.36,690.0,820.72,0.0,714.0,710.0,4.0,1.0,0.08651641649002899,50360.0
60,9.17,14.22,685.0,1856.58,0.0,504.0,500.0,7.0,3.0,0.23943324741905045,155890.0
60,17.86,38.87,660.0,3600.19,0.0,579.0,575.0,6.0,2.0,0.37332835562192507,500080.0
60,21.99,13.92,660.0,4152.34,0.0,664.0,660.0,5.0,4.0,0.14562317971025363,256183.49999999997
36,16.99,6.35,665.0,1580.32,0.0,744.0,740.0,2.0,0.0,0.09146739840585391,118929.99999999999
36,11.99,27.75,675.0,713.1,0.0,719.0,715.0,1.0,1.0,0.23076035537094727,71940.0
36,9.76,7.28,665.0,1275.71,0.0,704.0,700.0,9.0,3.0,0.2222172840603542,97600.0
60,13.67,2.02,750.0,3011.8,0.0,779.0,775.0,2.0,2.0,0.265053854123997,150370.0
36,11.99,15.13,675.0,3267.17,0.0,739.0,735.0,1.0,1.0,0.37735137072885416,239800.0
36,7.49,29.2,730.0,1022.58,0.0,724.0,720.0,5.0,2.0,0.2799906669777674,62916.0
36,8.38,14.51,660.0,1988.64,0.0,674.0,670.0,5.0,2.0,0.25059939036879075,174304.00000000003
60,11.22,8.69,675.0,1874.33,0.0,679.0,675.0,0.0,0.0,0.16666527778935175,224400.0
36,13.67,31.2,710.0,1207.75,0.0,704.0,700.0,5.0,2.0,0.2222172840603542,136700.0
36,9.17,7.57,660.0,2209.72,0.0,679.0,675.0,6.0,1.0,0.18181652894064598,183400.0
36,7.89,13.58,715.0,713.28,0.0,639.0,635.0,7.0,2.0,0.17646851213515136,118350.0
36,11.99,6.98,665.0,764.65,0.0,574.0,570.0,5.0,2.0,0.18517832672863968,59950.0
36,6.89,16.36,705.0,419.28,0.0,659.0,655.0,10.0,3.0,0.12121065199209706,68900.0
60,18.49,11.41,670.0,668.07,0.0,519.0,515.0,7.0,5.0,0.18360354748282814,207087.99999999997
60,18.2,25.35,665.0,2088.96,0.0,539.0,535.0,2.0,1.0,0.1999960000799984,182000.0
60,16.99,15.48,735.0,1154.97,0.0,674.0,670.0,5.0,2.0,0.2941118801592126,254849.99999999997
60,18.49,18.17,685.0,3670.43,0.0,689.0,685.0,7.0,5.0,0.1647039446594746,258859.99999999997
36,6.24,20.58,705.0,982.41,0.0,734.0,730.0,9.0,3.0,0.11110987655692714,62400.0
